A che ora?	At what time?	general
A dire la verità...	To be honest...	general
A presto.	See you soon.	general
A proposito...	By the way...	general
A volte...	Sometimes...	general
Abito a...	I live in...	general
Alla fine...	In the end...	general
Allora...	So/then...	general
Ancora.	Still/yet.	general
Andiamo.	Let's go.	general
Aspetta che ti dico.	Wait, I'll tell you.	general
Aspetta un attimo.	Wait a moment.	general
Buona giornata.	Have a nice day.	general
Buona notte.	Good night.	general
Buona serata.	Have a nice evening.	general
Capisco.	I understand.	general
Ce la faccio.	I can manage.	general
Certo.	Of course.	general
Che bello!	How nice!	general
Che fortuna!	How lucky!	general
Che ne dici?	What do you say?	general
Che ne pensi?	What do you think?	general
Che peccato.	What a pity.	general
Che significa?	What does it mean?	general
Ci conosciamo già.	We already know each other.	general
Ci penso io.	I'll handle it.	general
Ci proviamo.	Let's try.	general
Ci sentiamo domani.	We'll talk tomorrow.	general
Ci sentiamo.	We'll talk.	general
Ci vediamo dopo.	See you later.	general
Cioè...	I mean...	general
Com'è andata?	How did it go?	general
Come funziona?	How does it work?	general
Come ti va?	How are you doing?	general
Comunque.	Anyway.	general
Credo che...	I believe that...	general
Da poco.	Not long.	general
Da quanto tempo sei qui?	How long have you been here?	general
Da tanto.	For a long time.	general
Da un lato..., dall'altro...	On one hand..., on the other...	general
Davvero?	Really?	general
Devo organizzarmi meglio.	I need to organize myself better.	general
Devo...	I have to...	general
Di solito...	Usually...	general
Dipende da...	It depends on...	general
Dove si trova?	Where is it located?	general
Entriamo.	Let's go in.	general
Esatto.	Exactly.	general
Facciamo una pausa.	Let's take a break.	general
Fammi sapere.	Let me know.	general
Forse.	Maybe.	general
Già.	Already.	general
Grazie mille.	Thanks a lot.	general
Hai capito cosa intendo?	Do you get what I mean?	general
Hai ragione.	You're right.	general
Ho bisogno di...	I need...	general
Ho capito.	Got it.	general
Ho deciso di...	I decided to...	general
Ho fame.	I'm hungry.	general
Ho fretta.	I'm in a hurry.	general
Ho intenzione di...	I intend to...	general
Ho letto che...	I read that...	general
Ho sbagliato.	I made a mistake.	general
Ho sentito che...	I heard that...	general
Ho sete.	I'm thirsty.	general
Ho un dubbio.	I have a doubt.	general
Ho un'idea.	I have an idea.	general
Ho una domanda.	I have a question.	general
Ho una riunione.	I have a meeting.	general
Ho voglia di...	I feel like...	general
In altre parole...	In other words...	general
In che senso?	In what sense?	general
In generale...	In general...	general
In pratica...	In practice...	general
In questo caso...	In this case...	general
In questo momento...	Right now...	general
In realtà...	Actually...	general
Lavoro come...	I work as...	general
Lo facciamo insieme.	We'll do it together.	general
Lo faccio io.	I'll do it.	general
Magari.	Maybe/perhaps.	general
Mi aiuti a scegliere?	Can you help me choose?	general
Mi concentro meglio.	I focus better.	general
Mi convince.	I'm convinced.	general
Mi dai una mano?	Can you give me a hand?	general
Mi dispiace.	I'm sorry.	general
Mi dà fastidio.	It bothers me.	general
Mi fa piacere.	I'm happy to hear that.	general
Mi fai sapere domani?	Can you let me know tomorrow?	general
Mi fai un favore?	Can you do me a favor?	general
Mi hanno detto che...	They told me that...	general
Mi piace così.	I like it this way.	general
Mi piace di meno.	I like it less.	general
Mi piace di più.	I like it more.	general
Mi piace...	I like...	general
Mi piacerebbe provare...	I'd like to try...	general
Mi piacerebbe...	I would like...	general
Mi preoccupa.	It worries me.	general
Mi presento: sono...	Let me introduce myself: I'm...	general
Mi puoi aiutare?	Can you help me?	general
Mi puoi fare un esempio?	Can you give me an example?	general
Mi puoi mandare il link?	Can you send me the link?	general
Mi sembra che...	It seems to me that...	general
Mi sembra una buona idea.	It seems like a good idea.	general
Mi sento meglio.	I feel better.	general
Mi serve un attimo.	I need a moment.	general
Mi sono accorto/a che...	I realized that...	general
Mi sono dimenticato/a di...	I forgot to...	general
Mi spieghi questo?	Can you explain this to me?	general
Mi spiego meglio.	Let me explain better.	general
Mi va di...	I feel like (doing)...	general
Mi va.	Sounds good to me.	general
Mi viene in mente che...	It comes to mind that...	general
Ne ho bisogno.	I need it.	general
