A che ora apre?	What time does it open?	travel
A che ora arriva?	What time does it arrive?	travel
A che ora chiude la reception?	What time does reception close?	travel
A che ora chiude?	What time does it close?	travel
A che ora parte?	What time does it depart?	travel
A che ora è il check-in?	What time is check-in?	travel
A che ora è il check-out?	What time is check-out?	travel
Andiamo a piedi.	Let's go on foot.	travel
C'è copertura qui?	Is there coverage here?	travel
C'è il Wi‑Fi?	Is there Wi‑Fi?	travel
C'è ritardo.	There's a delay.	travel
C'è un problema con la camera.	There's a problem with the room.	travel
C'è un supermercato vicino?	Is there a supermarket nearby?	travel
C'è una visita guidata?	Is there a guided tour?	travel
C'è uno sconto studenti?	Is there a student discount?	travel
C'è vento.	It's windy.	travel
Che bello questo posto!	This place is beautiful!	travel
Che panorama!	What a view!	travel
Che tempo fa oggi?	What's the weather like today?	travel
Ci sono sconti?	Are there discounts?	travel
Con colazione, per favore.	With breakfast, please.	travel
Con ghiaccio.	With ice.	travel
Da quale binario?	From which platform?	travel
Devo cambiare?	Do I need to change?	travel
Dov'è il bagno?	Where is the bathroom?	travel
Dov'è il bancomat più vicino?	Where is the nearest ATM?	travel
Dov'è il gate?	Where is the gate?	travel
Dov'è il noleggio auto?	Where is the car rental?	travel
Dov'è l'aeroporto?	Where is the airport?	travel
Dov'è l'entrata?	Where is the entrance?	travel
Dov'è l'ufficio informazioni?	Where is the information desk?	travel
Dov'è l'uscita?	Where is the exit?	travel
Dov'è la farmacia più vicina?	Where is the nearest pharmacy?	travel
Dov'è la fermata dell'autobus?	Where is the bus stop?	travel
Dov'è la metro?	Where is the metro?	travel
Dov'è la stazione?	Where is the station?	travel
Dove posso comprare acqua?	Where can I buy water?	travel
Dove posso comprare i biglietti?	Where can I buy tickets?	travel
Dove posso comprare una SIM?	Where can I buy a SIM card?	travel
Dove posso fare denuncia?	Where can I file a report?	travel
Dove posso lasciare i bagagli?	Where can I leave my luggage?	travel
Fa caldo.	It's hot.	travel
Fa freddo.	It's cold.	travel
Hai un consiglio per oggi?	Do you have a tip for today?	travel
Ho bisogno di aiuto con il bagaglio.	I need help with luggage.	travel
Ho bisogno di assistenza.	I need assistance.	travel
Ho bisogno di internet.	I need internet.	travel
Ho bisogno di un passaporto?	Do I need a passport?	travel
Ho bisogno di un trasferimento.	I need a transfer.	travel
Ho bisogno di una mappa.	I need a map.	travel
Ho il bagaglio a mano.	I have carry-on luggage.	travel
Ho la carta d'imbarco.	I have the boarding pass.	travel
Ho perso il telefono.	I lost my phone.	travel
Ho perso il treno.	I missed the train.	travel
Ho perso l'aereo.	I missed the plane.	travel
Ho prenotato un hotel.	I booked a hotel.	travel
Ho prenotato un volo.	I booked a flight.	travel
Ho un bagaglio da imbarcare.	I have checked luggage.	travel
Ho un volo domani mattina.	I have a flight tomorrow morning.	travel
Il conto, per favore.	The bill, please.	travel
Il mio posto è in corridoio.	My seat is in the aisle.	travel
Il mio posto è vicino al finestrino.	My seat is by the window.	travel
Il volo è cancellato.	The flight is cancelled.	travel
In che lingua?	In which language?	travel
Mi consigli un museo?	Can you recommend a museum?	travel
Mi consigli un posto da vedere?	Can you recommend a place to see?	travel
Mi consigli una spiaggia?	Can you recommend a beach?	travel
Mi fermi qui, per favore.	Stop here, please.	travel
Mi hanno rubato il portafoglio.	My wallet was stolen.	travel
Mi piace l'atmosfera.	I like the atmosphere.	travel
Mi piace viaggiare.	I like traveling.	travel
Mi puoi aiutare con il check-in online?	Can you help me with online check-in?	travel
Mi puoi chiamare un taxi?	Can you call a taxi for me?	travel
Mi puoi consigliare un itinerario?	Can you recommend an itinerary?	travel
Mi puoi fare una foto?	Can you take a photo of me?	travel
Mi puoi scrivere l'indirizzo?	Can you write the address for me?	travel
Mi serve un adattatore.	I need an adapter.	travel
Mi serve un asciugamano.	I need a towel.	travel
Mi serve un biglietto giornaliero.	I need a day pass.	travel
Mi serve un consiglio.	I need advice.	travel
Mi serve un medico.	I need a doctor.	travel
Mi serve un ombrello.	I need an umbrella.	travel
Mi serve una farmacia.	I need a pharmacy.	travel
Mi serve una giacca.	I need a jacket.	travel
Mi sono perso/a.	I got lost.	travel
Non funziona l'aria condizionata.	The air conditioning doesn't work.	travel
Non troppo piccante, per favore.	Not too spicy, please.	travel
Non è affollato.	It's not crowded.	travel
Per che ora?	For what time?	travel
Piove.	It's raining.	travel
Possiamo sederci dentro?	Can we sit inside?	travel
Possiamo sederci fuori?	Can we sit outside?	travel
Posso avere lo scontrino?	Can I have the receipt?	travel
Posso avere un menù in inglese?	Can I have a menu in English?	travel
Posso fare una prenotazione online?	Can I book online?	travel
Posso lasciare i bagagli qui?	Can I leave my luggage here?	travel
Posso pagare con carta?	Can I pay by card?	travel
Posso prelevare qui?	Can I withdraw here?	travel
Prendiamo un taxi.	Let's take a taxi.	travel
Puoi indicarmi la strada?	Can you show me the way?	travel
